dev,name,batch_size,ts_nvfuser,aot_nvfuser,inductor_cudagraphs
cuda,YituTechConvBert,1,1.0998,1.3897,3.5034
cuda,CamemBert,1,1.1453,1.4172,2.4246
cuda,T5ForConditionalGeneration,4,0.0,0.9746,1.6991
cuda,Speech2Text2ForCausalLM,64,1.0291,1.1629,1.3116
cuda,DistilBertForQuestionAnswering,32,1.0073,1.1805,1.2896
cuda,ElectraForQuestionAnswering,64,1.2712,1.2011,1.2868
cuda,T5Small,1,0.0,1.4773,1.2755
cuda,LayoutLMForSequenceClassification,16,1.1866,1.1254,1.2704
cuda,LayoutLMForMaskedLM,16,1.1443,1.0585,1.1662
cuda,MegatronBertForQuestionAnswering,8,1.1492,1.0933,1.1462
cuda,DistilBertForMaskedLM,32,1.0063,1.0507,1.1361
cuda,RobertaForQuestionAnswering,64,1.0726,1.0162,1.1196
cuda,BartForConditionalGeneration,2,0.9976,1.0007,1.1157
cuda,BertForQuestionAnswering,64,1.072,1.0118,1.1095
cuda,PLBartForCausalLM,16,1.0105,0.9702,1.0969
cuda,PLBartForConditionalGeneration,8,1.0095,1.0003,1.0765
cuda,BertForMaskedLM,64,1.0541,0.9666,1.0343
cuda,MobileBertForMaskedLM,16,1.1751,1.1315,1.0289
cuda,BlenderbotSmallForConditionalGeneration,64,1.0195,0.9434,1.0059
cuda,TrOCRForCausalLM,16,1.0051,0.98,0.9963
cuda,BlenderbotSmallForCausalLM,64,1.0155,0.9255,0.9687
cuda,MobileBertForQuestionAnswering,32,1.2357,1.1712,0.8795
cuda,DistillGPT2,1,1.2592,1.5779,0.0
cuda,GPT2ForSequenceClassification,4,1.5594,1.572,0.0
cuda,MT5ForConditionalGeneration,4,1.0253,1.3711,0.0
cuda,AlbertForQuestionAnswering,4,1.172,1.2239,0.0
cuda,AlbertForMaskedLM,4,1.1708,1.2178,0.0
cuda,GoogleFnet,1,1.1282,1.2086,0.0
cuda,DebertaForQuestionAnswering,16,0.0,1.2022,0.0
cuda,DebertaForMaskedLM,16,0.0,1.0934,0.0
cuda,XLNetLMHeadModel,8,1.1155,1.0909,0.0
cuda,MegatronBertForCausalLM,8,1.136,1.0665,0.0
cuda,AllenaiLongformerBase,1,1.1712,1.0451,0.0
cuda,ElectraForCausalLM,32,1.1423,1.0061,0.0
cuda,OPTForCausalLM,16,1.0888,1.0033,0.0
cuda,BartForCausalLM,8,1.0042,1.0022,0.0
cuda,MBartForConditionalGeneration,8,1.0098,0.9999,0.0
cuda,DebertaV2ForQuestionAnswering,4,0.9973,0.9851,0.0
cuda,PegasusForConditionalGeneration,8,1.0075,0.9709,0.0
cuda,RobertaForCausalLM,64,1.0505,0.9695,0.0
cuda,MBartForCausalLM,16,1.0101,0.9673,0.0
cuda,PegasusForCausalLM,16,1.0088,0.9564,0.0
cuda,M2M100ForConditionalGeneration,4,1.0041,0.9562,0.0
cuda,BigBird,1,0.9802,0.863,0.0
cuda,XGLMForCausalLM,4,1.0022,0.0,0.0
cuda,DebertaV2ForMaskedLM,0,0.0,0.0,0.0
cuda,GPTNeoForCausalLM,0,0.0,0.0,0.0
cuda,GPTNeoForSequenceClassification,0,0.0,0.0,0.0
