dev,name,batch_size,speedup
cuda,AlbertForMaskedLM,2,1.3952
cuda,AlbertForQuestionAnswering,2,1.4067
cuda,AllenaiLongformerBase,1,1.0640
cuda,BartForCausalLM,0,0.0000
cuda,BartForConditionalGeneration,2,1.0014
cuda,BertForMaskedLM,0,0.0000
cuda,BertForQuestionAnswering,0,0.0000
cuda,BigBird,1,0.8708
cuda,BlenderbotSmallForCausalLM,0,0.0000
cuda,BlenderbotSmallForConditionalGeneration,0,0.0000
cuda,CamemBert,0,0.0000
cuda,DebertaForMaskedLM,4,1.5078
cuda,DebertaForQuestionAnswering,4,1.5663
cuda,DebertaV2ForMaskedLM,0,0.0000
cuda,DebertaV2ForQuestionAnswering,0,0.0000
cuda,DistilBertForMaskedLM,0,0.0000
cuda,DistilBertForQuestionAnswering,0,0.0000
cuda,DistillGPT2,1,1.6130
cuda,ElectraForCausalLM,0,0.0000
cuda,ElectraForQuestionAnswering,0,0.0000
cuda,GPT2ForSequenceClassification,4,1.3745
cuda,GPTNeoForCausalLM,0,0.0000
cuda,GPTNeoForSequenceClassification,0,0.0000
cuda,GoogleFnet,0,0.0000
cuda,LayoutLMForMaskedLM,0,0.0000
cuda,LayoutLMForSequenceClassification,0,0.0000
cuda,M2M100ForConditionalGeneration,0,0.0000
cuda,MBartForCausalLM,16,1.1896
cuda,MBartForConditionalGeneration,8,1.0274
cuda,MT5ForConditionalGeneration,2,2.3243
cuda,MegatronBertForCausalLM,2,1.6415
cuda,MegatronBertForQuestionAnswering,8,1.6205
cuda,MobileBertForMaskedLM,0,0.0000
cuda,MobileBertForQuestionAnswering,32,1.5517
cuda,OPTForCausalLM,0,0.0000
cuda,PLBartForCausalLM,0,0.0000
cuda,PLBartForConditionalGeneration,8,1.0268
cuda,PegasusForCausalLM,8,1.5620
cuda,PegasusForConditionalGeneration,4,1.5411
cuda,RobertaForCausalLM,4,1.6034
cuda,RobertaForQuestionAnswering,0,0.0000
cuda,Speech2Text2ForCausalLM,0,0.0000
cuda,T5ForConditionalGeneration,0,0.0000
cuda,T5Small,0,0.0000
cuda,TrOCRForCausalLM,0,0.0000
cuda,XGLMForCausalLM,2,1.4568
cuda,XLNetLMHeadModel,0,0.0000
cuda,YituTechConvBert,0,0.0000
